section_number, image_url, image_format, image_width, image_height, atlas_url, atlas_format, viewer_url
459,http://api.brain-map.org/api/v2/atlas_image_download/101892526?downsample=0&annotation=false&atlas=3,jpg,20912,40992,http://api.brain-map.org/api/v2/svg/101892526?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892526&zoom=-5
460,http://api.brain-map.org/api/v2/atlas_image_download/101892553?downsample=0&annotation=false&atlas=3,jpg,20032,36064,http://api.brain-map.org/api/v2/svg/101892553?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892553&zoom=-5
485,http://api.brain-map.org/api/v2/atlas_image_download/101892539?downsample=0&annotation=false&atlas=3,jpg,21600,38992,http://api.brain-map.org/api/v2/svg/101892539?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892539&zoom=-5
510,http://api.brain-map.org/api/v2/atlas_image_download/101892525?downsample=0&annotation=false&atlas=3,jpg,21104,39040,http://api.brain-map.org/api/v2/svg/101892525?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892525&zoom=-5
511,http://api.brain-map.org/api/v2/atlas_image_download/101892552?downsample=0&annotation=false&atlas=3,jpg,23616,44848,http://api.brain-map.org/api/v2/svg/101892552?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892552&zoom=-5
536,http://api.brain-map.org/api/v2/atlas_image_download/101892538?downsample=0&annotation=false&atlas=3,jpg,21216,38992,http://api.brain-map.org/api/v2/svg/101892538?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892538&zoom=-5
561,http://api.brain-map.org/api/v2/atlas_image_download/101892524?downsample=0&annotation=false&atlas=3,jpg,21104,39040,http://api.brain-map.org/api/v2/svg/101892524?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892524&zoom=-5
562,http://api.brain-map.org/api/v2/atlas_image_download/101892551?downsample=0&annotation=false&atlas=3,jpg,21344,37040,http://api.brain-map.org/api/v2/svg/101892551?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892551&zoom=-5
587,http://api.brain-map.org/api/v2/atlas_image_download/101892537?downsample=0&annotation=false&atlas=3,jpg,22736,37824,http://api.brain-map.org/api/v2/svg/101892537?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892537&zoom=-5
612,http://api.brain-map.org/api/v2/atlas_image_download/101892523?downsample=0&annotation=false&atlas=3,jpg,22512,40992,http://api.brain-map.org/api/v2/svg/101892523?downsample=0&groups=31,svg,https://atlas.brain-map.org/atlas?atlas=3&plate=101892523&zoom=-5
